geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
gtbp-1,+,+,+,+,+,Group I,,synthetic sterility in grif-1(ax4524) strain,265.9645067,322.8198109,1.213770269,WBGene00010677,
gyg-2,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),105.2460029,37.46537228,0.355979051,WBGene00012020,Embryonic lethal
hpr-17,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),52.64922784,46.24226115,0.87830844,WBGene00001998,
hrde-2,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),28.6233522,17.57292544,0.613936667,WBGene00011324,
hrdl-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),44.40236689,8.048692837,0.181267203,WBGene00002136,Embryonic lethal
ifg-1,+,+,+,-,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak","P0 lethality, could not count sterility in either N2 or grif-1(ax4524)",679.7841525,1344.694459,1.978119752,WBGene00002066,Embryonic lethal
ikke-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),34.17487077,19.91410057,0.582711803,WBGene00011299,
imph-1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),53.19259794,53.97612788,1.014730056,WBGene00010908,
kbrl-1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),45.55888985,21.43092639,0.47040054,WBGene00009919,
lotr-1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),73.38355183,46.24233123,0.630145722,WBGene00008385,
M01B12.4,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),108.1765214,92.35525807,0.853745867,WBGene00019697,
mdt-27,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),49.32225093,32.86118717,0.666254815,WBGene00007023,Embryonic lethal
men-1,+,+,-,-,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),63.19022941,58.45733029,0.925100776,WBGene00012983,
mex-3,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak","embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",240.5192244,339.3458131,1.410888522,WBGene00003229,Embryonic lethal
mex-5,+,-,+,-,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak","embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",227.7172027,311.9285141,1.369806543,WBGene00003230,Embryonic lethal
mex-6,+,+,-,-,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak",not significantly sterile in N2 or grif-1(ax4524),146.7507647,182.8842715,1.246223636,WBGene00003231,Embryonic lethal
nos-2,+,+,+,-,+,Group I,,sterility in both N2 and grif-1(ax4524),59.58117489,23.92310344,0.401521177,WBGene00003784,
