geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
efr-3,+,+,+,+,-,Group II,,,61.60239253,29.36133565,0.476626547,WBGene00016311,Embryonic lethal
ekl-6,+,+,+,-,-,Group II,,,170.7572321,161.6830529,0.946859181,WBGene00011806,
enpl-1,+,+,+,+,-,Group II,,,414.7606394,146.7166263,0.353738066,WBGene00011480,Embryonic lethal
erfa-3,+,+,+,+,-,Group II,,,206.0085111,247.5926359,1.201856344,WBGene00010405,Embryonic lethal
F07F6.4,+,+,+,-,-,Group II,,,124.0687675,236.5019405,1.906216571,WBGene00017217,
F20D1.3,+,+,+,+,-,Group II,,,56.66001947,119.5110478,2.109265915,WBGene00008975,
F26E4.4,+,+,+,+,-,Group II,,,103.0078107,62.23324553,0.604160453,WBGene00009159,Embryonic lethal
F35C11.5,+,+,+,+,-,Group II,,,17.27126628,0.418118724,0.024208921,WBGene00009404,
F49C12.9,+,+,+,+,-,Group II,,,127.5989332,159.3007112,1.248448613,WBGene00009878,
F56A11.5,+,+,+,+,-,Group II,,,23.004508,8.613262606,0.374416293,WBGene00018925,
F56A8.3,+,+,+,+,-,Group II,,,125.5261421,212.9706504,1.696623881,WBGene00010139,Embryonic lethal
F56C9.10,+,+,+,+,-,Group II,,,410.9727572,500.3096033,1.217378998,WBGene00018953,
F58G11.3,+,+,+,+,-,Group II,,,9.342891574,76.97031324,8.238382371,WBGene00010281,
F59E12.9,+,+,+,+,-,Group II,,,127.0272688,147.8959186,1.164284803,WBGene00019124,
farl-11,+,+,+,-,-,Group II,,,117.2663648,110.1336155,0.939174807,WBGene00017349,
fecl-1,+,+,+,-,-,Group II,,,32.44060561,15.84185261,0.488334059,WBGene00010645,
fsn-1,+,+,+,+,-,Group II,,,94.53744193,29.71489135,0.314318758,WBGene00001499,
fubl-1,+,+,+,+,-,Group II,,,26.85733055,244.2336555,9.09374277,WBGene00007534,
fzr-1,+,+,+,+,-,Group II,,,232.6716851,319.1298,1.371588468,WBGene00001510,
gap-3,+,+,+,+,-,Group II,,,26.08779751,12.25448129,0.469739973,WBGene00021238,
gars-1,+,+,+,+,-,Group II,,,139.6380479,118.0393403,0.845323621,WBGene00001744,Embryonic lethal
gex-3,+,-,+,-,-,Group II,,,121.4395906,87.64296424,0.721700096,WBGene00001580,Embryonic lethal
gld-2,+,+,+,+,-,Group II,,,85.07992009,60.25100879,0.708169551,WBGene00001596,Embryonic lethal
glp-4,+,+,+,+,-,Group II,,,104.2839626,91.79487959,0.880239658,WBGene00006936,Embryonic lethal
gon-14,+,+,+,+,-,Group II,,,134.1185529,125.0369574,0.932286807,WBGene00002148,
gon-4,+,+,+,+,-,Group II,,,182.7519681,117.7330791,0.644223317,WBGene00001653,Embryonic lethal
gpi-1,+,+,+,+,-,Group II,,,77.891684,92.95615683,1.193402839,WBGene00013597,Embryonic lethal
haf-3,+,+,+,+,-,Group II,,,51.38302212,39.90441907,0.776607086,WBGene00001813,
hmp-1,+,+,+,+,-,Group II,,,269.9851968,231.2693364,0.856600062,WBGene00001978,Embryonic lethal
hpo-9,+,+,+,+,-,Group II,,,97.10618298,35.34276481,0.363959984,WBGene00015463,Embryonic lethal
hsp-110,+,+,+,-,-,Group II,,,199.605285,211.1295959,1.0577355,WBGene00016250,Embryonic lethal
hxk-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,102.9882637,60.0015054,0.582605272,WBGene00008780,Embryonic lethal
idh-1,+,+,+,+,-,Group II,,,312.7655848,444.4998389,1.421191654,WBGene00010317,
iffb-1,+,+,+,+,-,Group II,,,121.251685,206.6532204,1.704332772,WBGene00021857,Embryonic lethal
imp-2,+,+,+,+,-,Group II,,,135.4917158,62.40100163,0.460552155,WBGene00011481,Embryonic lethal
inf-1,+,+,+,-,-,Group II,,,610.710471,1315.346708,2.153797537,WBGene00002083,Embryonic lethal
jmjd-2,+,+,+,+,-,Group II,,,170.6884166,233.6824852,1.369058837,WBGene00012982,
K07H8.2,+,+,+,+,-,Group II,,,43.74567754,7.426762646,0.169771348,WBGene00019504,Embryonic lethal
kin-4,+,+,+,-,-,Group II,,,225.4361217,151.0095316,0.669855081,WBGene00002192,
lap-2,+,+,+,+,-,Group II,,,118.1536151,164.1657475,1.389426361,WBGene00002250,
larp-1,+,+,+,-,-,Group II,,,365.9350595,386.1261033,1.055176576,WBGene00020097,Embryonic lethal
lat-1,+,+,+,+,-,Group II,,,127.8686012,29.39583058,0.229890922,WBGene00002251,Embryonic lethal
lst-4,+,+,+,+,-,Group II,,,79.70206184,65.50700334,0.821898478,WBGene00003086,Embryonic lethal
meg-3,+,+,+,+,-,Group II,,,123.0431498,103.8639647,0.844126348,WBGene00001569,
met-1,+,+,+,-,-,Group II,,,375.2618549,491.4206986,1.30954077,WBGene00016603,
mrp-4,+,+,+,+,-,Group II,,,65.89718872,9.900318706,0.150238863,WBGene00003410,
nars-1,+,+,+,+,-,Group II,,,73.27753585,88.54619,1.208367462,WBGene00003815,Embryonic lethal
natc-1,+,+,+,+,-,Group II,,,83.6074035,62.84238044,0.751636551,WBGene00020719,Embryonic lethal
nhr-66,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,44.16674959,19.55395747,0.442730281,WBGene00003656,
nra-2,+,+,+,-,-,Group II,,,109.9629914,51.05388326,0.464282415,WBGene00011488,
nsf-1,+,+,+,+,-,Group II,,,156.8910505,197.9474537,1.26168735,WBGene00003818,Embryonic lethal
ntl-4,+,+,+,-,-,Group II,,,222.9962338,303.1241224,1.359323955,WBGene00003827,Embryonic lethal
ntl-9,+,-,+,+,-,Group II,,,96.72051338,167.428631,1.731056062,WBGene00016139,Embryonic lethal
ola-1,+,+,+,+,-,Group II,,,200.6378193,192.7522333,0.96069741,WBGene00012344,Embryonic lethal
oma-1,+,+,+,+,-,Group II,,,93.59152003,202.2504568,2.16099126,WBGene00003864,Embryonic lethal
orc-1,+,+,+,+,-,Group II,,,160.6871269,155.5008669,0.967724484,WBGene00012650,Embryonic lethal
pak-2,+,+,+,+,-,Group II,,,86.76970325,30.03992154,0.346202884,WBGene00006443,
pal-1,+,-,+,-,-,Group II,RNA localizes to puncta in somatic cells,,142.3475135,145.4688746,1.021927753,WBGene00003912,Embryonic lethal
pap-1,+,+,+,+,-,Group II,,,257.204915,236.3573437,0.918945673,WBGene00012528,Embryonic lethal
par-3,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,311.1652795,198.6694214,0.638469118,WBGene00003918,Embryonic lethal
pcaf-1,+,+,+,-,-,Group II,,,124.6023892,158.431937,1.271499993,WBGene00021636,
pfkb-1.2,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,155.3772544,193.9642192,1.248343716,WBGene00019295,
pigv-1,+,+,+,+,-,Group II,,,174.628348,123.9432977,0.70975474,WBGene00020375,Embryonic lethal
pitr-1,+,+,+,+,-,Group II,,,35.39335064,1.946581264,0.054998502,WBGene00016739,Embryonic lethal
plp-1,+,+,+,+,-,Group II,,,216.2575631,156.1985367,0.722280111,WBGene00004046,
plst-1,+,+,+,-,-,Group II,,,41.06815478,48.08677394,1.170901741,WBGene00022425,
pod-1,+,+,+,+,-,Group II,,,310.3704849,339.0824502,1.092508685,WBGene00004075,Embryonic lethal
ppm-1.A,+,+,+,+,-,Group II,,,149.590315,120.1720117,0.803340856,WBGene00006460,
prom-1,+,+,+,+,-,Group II,,,15.99770798,4.128912465,0.258094001,WBGene00009173,
ptc-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,116.426584,8.485406067,0.072882032,WBGene00004208,Embryonic lethal
pyk-1,+,+,+,+,-,Group II,,,90.87201573,58.96858093,0.648919037,WBGene00009126,Embryonic lethal
pzf-1,+,+,+,+,-,Group II,,,8.558807018,0.404994623,0.047319051,WBGene00011505,
rab-1,+,+,+,+,-,Group II,,,140.6331702,276.0535832,1.962933658,WBGene00004266,Embryonic lethal
rab-11.1,+,+,+,+,-,Group II,,,265.048377,360.7332632,1.361009138,WBGene00004274,Embryonic lethal
ran-3,+,+,+,+,-,Group II,,,241.3761078,224.7981419,0.931318944,WBGene00004304,Embryonic lethal
ret-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,150.6295237,370.9833747,2.462886196,WBGene00004336,
rme-1,+,+,+,+,-,Group II,,,138.1286468,130.5182576,0.944903614,WBGene00004373,
rme-2,+,+,+,+,-,Group II,,,32.0785046,0.717234027,0.022358711,WBGene00004374,Embryonic lethal
rme-8,+,+,+,-,-,Group II,,,145.0053085,60.27391161,0.415666931,WBGene00004378,Embryonic lethal
rpoa-2,+,+,+,+,-,Group II,,,134.2274593,96.70577423,0.720461929,WBGene00008781,Embryonic lethal
sec-24.1,+,+,+,+,-,Group II,,,234.327133,299.6802414,1.278896889,WBGene00004755,
sel-2,+,+,-,+,-,Group II,,,480.1378164,276.5688481,0.576019715,WBGene00004760,
smc-6,+,+,+,+,-,Group II,,,191.9191273,124.5583366,0.649014709,WBGene00010056,Embryonic lethal
snx-13,+,+,+,+,-,Group II,,,44.06984425,6.06965192,0.137728009,WBGene00013803,
sqv-5,+,+,+,+,-,Group II,,,61.52272347,9.653051811,0.156902219,WBGene00005023,Embryonic lethal
sqv-7,+,+,+,+,-,Group II,,,12.74617059,3.96852266,0.311350192,WBGene00005025,Embryonic lethal
srgp-1,+,+,+,-,-,Group II,,,427.2444635,293.5632194,0.687108306,WBGene00006406,
srpa-72,+,+,+,+,-,Group II,,,157.4454086,165.0599979,1.048363362,WBGene00017245,Embryonic lethal
stt-3,+,-,-,-,-,Group II,,,263.5392453,79.67198656,0.302315454,WBGene00020437,Embryonic lethal
suco-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,45.18933813,6.762413313,0.149646213,WBGene00020031,
szy-4,+,+,+,+,-,Group II,,,17.05095116,1.342360834,0.078726449,WBGene00077732,Embryonic lethal
T05E7.3,+,+,+,+,-,Group II,,,50.41514259,43.60657427,0.864949934,WBGene00020259,
T05H10.1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,63.9908048,34.9289738,0.54584364,WBGene00011507,
T13C2.6,+,+,+,+,-,Group II,,,78.36745377,19.06373275,0.243260841,WBGene00020481,Embryonic lethal
T22F3.2,+,+,+,+,-,Group II,,,48.01957328,43.60707425,0.908110407,WBGene00020695,
taf-5,+,+,+,-,-,Group II,,,110.4838651,134.248111,1.215092456,WBGene00006386,Embryonic lethal
tam-1,+,+,+,+,-,Group II,,,616.3782749,379.1256,0.615085923,WBGene00006523,Embryonic lethal
tiar-1,+,+,+,-,-,Group II,RNA localizes to puncta in somatic cells,,498.963261,714.0989756,1.431165441,WBGene00015943,Embryonic lethal
tmem-131,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,160.6811928,38.15394317,0.237451207,WBGene00016170,Embryonic lethal
tol-1,+,+,+,+,-,Group II,,,104.6430247,21.67594246,0.207141781,WBGene00006593,Embryonic lethal
tre-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,31.04475213,6.457031593,0.207991082,WBGene00006607,Embryonic lethal
trpp-10,+,+,+,-,-,Group II,,,26.25100302,17.24330783,0.656862818,WBGene00022138,
uba-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,441.7741655,331.4679044,0.750310748,WBGene00006699,Embryonic lethal
ubxn-3,+,+,+,+,-,Group II,,,395.738631,522.7340609,1.320907336,WBGene00018586,Embryonic lethal
unc-37,+,+,+,-,-,Group II,,,873.6001662,1421.261555,1.626901654,WBGene00006773,Embryonic lethal
unc-40,+,+,+,+,-,Group II,,,140.2263734,30.39547091,0.216760016,WBGene00006776,
vgln-1,+,+,+,+,-,Group II,,,1616.012857,2589.769653,1.602567481,WBGene00007463,
vha-13,+,+,+,+,-,Group II,,,192.6718774,261.2706384,1.356039303,WBGene00013025,Embryonic lethal
vha-7,+,+,+,+,-,Group II,,,22.10433917,9.776862519,0.442305126,WBGene00006916,
vps-15,+,+,+,+,-,Group II,,,177.6226418,125.9431849,0.70904916,WBGene00014151,
vps-39,+,+,+,+,-,Group II,,,183.3325029,159.9855489,0.872652401,WBGene00011625,Embryonic lethal
wee-1.3,+,-,-,-,-,Group II,,,134.5187711,99.41196957,0.739019311,WBGene00006940,Embryonic lethal
wht-2,+,+,+,+,-,Group II,,,62.94342353,60.87175899,0.967086879,WBGene00007513,
xpc-1,+,+,+,-,-,Group II,RNA localizes to puncta in somatic cells,,89.44329645,75.94048965,0.849035005,WBGene00022296,
Y39E4B.5,+,+,+,+,-,Group II,,,20.25380079,5.534415274,0.27325317,WBGene00012716,
Y41D4A.4,+,+,+,-,-,Group II,,,46.75964095,19.16257436,0.409810126,WBGene00021506,
Y50D7A.3,+,+,+,-,-,Group II,,,84.10772106,38.71578726,0.460311928,WBGene00021753,
Y57A10A.31,+,+,+,-,-,Group II,,,97.29974259,66.2178247,0.680554983,WBGene00013270,
Y71F9AL.9,+,+,+,+,-,Group II,,,360.3122718,630.1750493,1.748969154,WBGene00022114,
Y73B3A.1,+,+,+,+,-,Group II,,,39.73427284,29.5611961,0.743972243,WBGene00022203,
ZC53.1,+,+,+,+,-,Group II,,,7.809268017,2.688454586,0.344264607,WBGene00022508,
zer-1,+,+,+,+,-,Group II,,,162.7936916,144.0784701,0.885037182,WBGene00020762,
zfp-1,+,+,+,+,-,Group II,,,326.9460256,343.8296752,1.05164048,WBGene00006975,
zyg-11,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,150.5764396,80.8483963,0.53692594,WBGene00006996,Embryonic lethal
aka-1,-,+,+,+,-,Group II,,,170.7983186,181.1657393,1.060699782,WBGene00000101,
C01G8.1,-,+,+,+,-,Group II,,,62.2749272,0.525568869,0.008439494,WBGene00015312,
C18D11.3,-,+,+,+,-,Group II,,,42.46849003,22.11594711,0.520761324,WBGene00007681,
C31H1.8,-,+,+,+,-,Group II,,,36.85155832,4.913023149,0.133319278,WBGene00016291,Embryonic lethal
C55A6.1,-,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,64.28387176,42.015179,0.653588184,WBGene00008330,
car-1,-,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,153.5304399,169.2617327,1.102463673,WBGene00012484,Embryonic lethal
cars-1,-,+,+,+,-,Group II,,,208.6727193,128.7343336,0.616919806,WBGene00000800,Embryonic lethal
cct-1,-,+,+,-,-,Group II,,,371.6083765,257.7344163,0.693564603,WBGene00000377,Embryonic lethal
cct-2,-,+,+,+,-,Group II,,,192.3900197,192.3187923,0.999629776,WBGene00000378,Embryonic lethal
cdc-25.2,-,+,+,+,-,Group II,,,346.4110091,416.6423332,1.202739873,WBGene00000387,Embryonic lethal
cpb-3,-,+,+,+,-,Group II,,,74.02645824,78.81190072,1.064645028,WBGene00000772,Embryonic lethal
cul-3,-,+,+,+,-,Group II,,,217.2354243,99.00231237,0.455737423,WBGene00000838,Embryonic lethal
eif-2A,-,+,+,+,-,Group II,,,306.841943,170.7681249,0.556534492,WBGene00008480,Embryonic lethal
epn-1,-,+,+,+,-,Group II,,,304.2999325,449.9897531,1.478770466,WBGene00001329,Embryonic lethal
F40H3.1,-,+,+,+,-,Group II,,,4.193567588,3.476557899,0.829021549,WBGene00018249,
F53C11.5,-,+,+,+,-,Group II,,,77.81523857,69.00716601,0.886807871,WBGene00009975,
gei-17,-,+,+,+,-,Group II,,,22.98252784,91.21343495,3.968816467,WBGene00001574,Embryonic lethal
gen-1,-,+,+,+,-,Group II,,,30.20662769,7.244283927,0.239824319,WBGene00020442,Embryonic lethal
H34C03.2,-,+,+,+,-,Group II,,,265.7259029,272.9016285,1.027004238,WBGene00019259,
hinf-1,-,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,369.7787593,628.8436949,1.700594421,WBGene00009553,Embryonic lethal
hsp-6,-,+,+,-,-,Group II,RNA localizes to puncta in somatic cells,,208.1354967,188.6952781,0.906598255,WBGene00002010,Embryonic lethal
ing-3,-,+,+,+,-,Group II,,,81.90017873,82.70277535,1.009799693,WBGene00013095,Embryonic lethal
K10C3.4,-,+,+,+,-,Group II,,,91.92051466,41.80120664,0.454753836,WBGene00010731,
kars-1,-,+,+,+,-,Group II,,,228.7504088,159.8542688,0.698815227,WBGene00002238,Embryonic lethal
lea-1,-,+,+,-,-,Group II,,,213.0926823,480.3404137,2.254138474,WBGene00002263,
let-526,-,+,+,+,-,Group II,,,951.1326412,860.5247629,0.904736864,WBGene00002583,Embryonic lethal
let-711,-,+,+,+,-,Group II,,,1135.156697,882.6787233,0.777583153,WBGene00002845,Embryonic lethal
mau-2,-,+,-,+,-,Group II,RNA localizes to puncta in somatic cells,,50.53528161,61.94709022,1.225818641,WBGene00003136,Embryonic lethal
mdh-2,-,+,-,-,-,Group II,,,44.20343845,98.83650351,2.235946048,WBGene00003162,Embyronic lethal
mvk-1,-,+,+,+,-,Group II,,,203.3090465,184.250239,0.906256963,WBGene00021534,Embryonic lethal
ncl-1,-,+,+,+,-,Group II,,,207.0248108,193.7627801,0.935939897,WBGene00003559,
nhl-2,-,+,+,-,-,Group II,,,225.3311954,177.9224722,0.789604262,WBGene00003598,
nmt-1,-,+,+,+,-,Group II,,,129.7335908,195.3492334,1.505772192,WBGene00020549,Embryonic lethal
npp-9,-,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,238.3535499,139.1725361,0.583891182,WBGene00003795,Embryonic lethal
pdi-1,-,+,+,+,-,Group II,,,369.1857709,159.2513944,0.43135843,WBGene00003962,
pqn-59,-,+,+,+,-,Group II,,,991.2275892,1600.976212,1.615144927,WBGene00004143,Embryonic lethal
pqn-65,-,+,-,-,-,Group II,,,544.6375409,470.6232751,0.864103628,WBGene00004148,
pyc-1,-,+,+,+,-,Group II,,,65.77455469,61.12927964,0.929375804,WBGene00004258,
pygl-1,-,+,+,-,-,Group II,,,80.06039061,101.9418172,1.273311514,WBGene00020696,Embryonic lethal
R07E5.7,-,+,+,-,-,Group II,,,71.78005066,51.78425395,0.72142961,WBGene00011115,
R09F10.8,-,+,+,+,-,Group II,,,52.19065274,21.11002446,0.404479027,WBGene00019989,Embryonic lethal
R11H6.2,-,+,+,+,-,Group II,,,69.51106253,36.58952833,0.526384247,WBGene00011250,
R186.3,-,+,+,+,-,Group II,,,30.56319112,16.56202786,0.541894588,WBGene00011306,Embryonic lethal
rab-6.1,-,+,+,+,-,Group II,,,22.87848969,13.64212633,0.596286141,WBGene00004269,Embryonic lethal
rict-1,-,+,+,+,-,Group II,,,111.6317829,69.05895337,0.618631644,WBGene00009245,
rsks-1,-,+,+,+,-,Group II,,,243.8009963,226.9782472,0.93099803,WBGene00012929,
sec-61,-,+,+,+,-,Group II,,,364.1668017,276.2991415,0.758715897,WBGene00013311,Embryonic lethal
sel-5,-,+,+,+,-,Group II,,,84.41304775,61.03626569,0.723066722,WBGene00004762,Embryonic lethal
T21C9.13,-,+,-,+,-,Group II,,,42.75603607,37.92447574,0.886997,WBGene00011898,
tars-1,-,+,+,+,-,Group II,,,150.9284265,102.5666443,0.679571415,WBGene00006617,Embryonic lethal
tsg-101,-,+,+,+,-,Group II,,,86.07013337,135.0027451,1.568520227,WBGene00015658,Embryonic lethal
tufm-1,-,+,+,+,-,Group II,,,149.7131102,93.52990422,0.624727548,WBGene00007000,Embryonic lethal
ubc-20,-,+,+,+,-,Group II,,,62.8217727,105.5413976,1.680013044,WBGene00006715,
ubxn-6,-,+,+,+,-,Group II,,,160.0020415,167.79696,1.048717619,WBGene00019163,
wdr-20,-,+,+,+,-,Group II,,,135.5278065,45.20785185,0.33356883,WBGene00007428,Embryonic lethal
Y46G5A.18,-,+,+,+,-,Group II,,,123.7542247,136.3620454,1.101877901,WBGene00012908,
Y47D9A.1,-,+,+,+,-,Group II,,,54.59346944,35.61374817,0.652344475,WBGene00021628,
Y75B8A.24,-,+,-,-,-,Group II,,,116.8424876,55.81554013,0.477699006,WBGene00013557,
zipt-7.1,-,+,+,+,-,Group II,,,24.95835381,0.802097038,0.032137418,WBGene00044067,
ZK616.5,-,+,+,+,-,Group II,,,10.80792661,3.331234425,0.308221414,WBGene00022775,
ZK829.7,-,+,+,+,-,Group II,,,77.17182657,49.63499408,0.643175059,WBGene00014096,
zyg-9,-,+,+,+,-,Group II,,,578.4963127,591.8489486,1.023081627,WBGene00006994,Embryonic lethal
aco-2,-,-,+,+,-,Group II,,,166.0145673,97.17137121,0.585318342,WBGene00000041,Embryonic lethal
acs-13,-,-,+,+,-,Group II,,,178.8448705,140.6964244,0.78669533,WBGene00022037,
akir-1,-,-,+,+,-,Group II,,,170.2911938,338.1593736,1.985771349,WBGene00017088,Embryonic lethal
atp-1,-,-,+,+,-,Group II,,,521.4135747,816.2521438,1.565460094,WBGene00010419,Embryonic lethal
atp-5,-,-,+,+,-,Group II,,,254.5579538,224.3057885,0.881158043,WBGene00007385,Embryonic lethal
C17H12.2,-,-,+,+,-,Group II,,,55.08139042,11.06731645,0.200926599,WBGene00015928,
C25A1.1,-,-,+,-,-,Group II,,,129.1059608,280.4702926,2.172403899,WBGene00007705,
cav-1,-,-,+,-,-,Group II,,,3247.94846,4208.933288,1.295874408,WBGene00000301,
cey-1,-,-,+,+,-,Group II,,,371.1744797,562.918895,1.516588359,WBGene00000472,
cpg-1,-,-,+,+,-,Group II,RNA localizes to puncta in somatic cells,,264.5950479,3.060326438,0.011566076,WBGene00000465,Embryonic lethal
dcn-1,-,-,+,-,-,Group II,,,163.399109,344.2159864,2.106596471,WBGene00010428,Embryonic lethal
ect-2,-,-,+,+,-,Group II,,,224.1807802,210.4367213,0.938692073,WBGene00002297,Embryonic lethal
epc-1,-,-,+,+,-,Group II,,,451.3138505,166.5910232,0.369124553,WBGene00007030,Embryonic lethal
F18A1.7,-,-,+,+,-,Group II,,,109.7481095,63.75996608,0.580966418,WBGene00017548,Embryonic lethal
fln-1,-,-,+,+,-,Group II,,,155.4110099,134.6991071,0.866728214,WBGene00022048,Embryonic lethal
gsp-2,-,-,+,+,-,Group II,,,617.9762543,808.2493685,1.307897129,WBGene00001748,Embryonic lethal
hsp-1,-,-,+,+,-,Group II,,,746.7530677,972.8558041,1.302781128,WBGene00002005,Embryonic lethal
K01G5.5,-,-,+,+,-,Group II,,,688.1425025,504.7447202,0.733488657,WBGene00010478,
kin-19,-,-,+,+,-,Group II,,,339.5833948,377.7185372,1.112299786,WBGene00002202,Embryonic lethal
lag-1,-,-,+,+,-,Group II,,,174.3535408,222.9260768,1.278586462,WBGene00002245,Embryonic lethal
mbk-2,-,-,+,+,-,Group II,RNA localizes to puncta in somatic cells,,584.131347,790.1812725,1.352745879,WBGene00003150,Embryonic lethal
mcm-3,-,-,+,+,-,Group II,,,899.2988562,1279.76873,1.423073899,WBGene00003155,Embryonic lethal
mcm-7,-,-,+,+,-,Group II,,,2267.564079,3647.391233,1.608506356,WBGene00003159,Embryonic lethal
mex-1,-,-,+,+,-,Group II,RNA localizes to puncta in somatic cells,,130.560664,170.0150405,1.302191911,WBGene00003228,Embryonic lethal
mrck-1,-,-,+,+,-,Group II,,,255.9446385,92.88983437,0.362929401,WBGene00006437,
nasp-2,-,-,+,+,-,Group II,,,2441.595993,5059.220562,2.072095702,WBGene00008218,Embryonic lethal
ndk-1,-,-,+,-,-,Group II,,,250.2803374,253.5572179,1.01309284,WBGene00009119,Embryonic lethal
npp-8,-,-,+,+,-,Group II,,,523.5751005,509.5890071,0.973287321,WBGene00003794,Embryonic lethal
ostb-1,-,-,+,+,-,Group II,,,183.061504,155.9618581,0.851964256,WBGene00011638,Embryonic lethal
par-5,-,-,+,-,-,Group II,,,676.2145554,838.2682701,1.239648368,WBGene00003920,Embryonic lethal
pas-6,-,-,+,+,-,Group II,,,92.39674415,115.6765038,1.251954329,WBGene00003927,Embryonic lethal
pck-2,-,-,+,+,-,Group II,,,793.8553254,795.411281,1.001959999,WBGene00011232,
pkc-3,-,-,+,+,-,Group II,,,163.117516,151.8817753,0.931118736,WBGene00004034,Embryonic lethal
pqe-1,-,-,+,+,-,Group II,,,418.1427165,495.9593831,1.186100734,WBGene00004095,
R12E2.11,-,-,+,+,-,Group II,,,32.07688493,61.51268631,1.917663964,WBGene00020036,Embryonic lethal
rho-1,-,-,+,+,-,Group II,,,256.0308041,579.2384374,2.262377918,WBGene00004357,Embryonic lethal
rnr-2,-,-,+,+,-,Group II,,,1918.152259,3241.853443,1.69009182,WBGene00004392,Embryonic lethal
sel-10,-,-,+,+,-,Group II,,,16.50981678,75.46148859,4.570704181,WBGene00004767,
set-2,-,-,+,+,-,Group II,,,288.9000877,246.9755009,0.854882056,WBGene00004782,
spcs-2,-,-,+,+,-,Group II,,,110.1095042,96.35670915,0.875098929,WBGene00012550,Embryonic lethal
sqd-1,-,-,+,+,-,Group II,,,414.6969975,382.0057216,0.921168284,WBGene00022235,
tra-1,-,-,+,+,-,Group II,,,48.98514794,26.69212709,0.544902449,WBGene00006604,Embryonic lethal
tram-1,-,-,+,+,-,Group II,,,69.56185026,64.02171333,0.920356677,WBGene00007696,
trr-1,-,-,+,-,-,Group II,,,854.4659717,279.7307466,0.32737494,WBGene00007028,
ubc-25,-,-,+,-,-,Group II,,,312.7895047,393.844666,1.259136448,WBGene00006720,
ucr-1,-,-,+,+,-,Group II,,,247.2035642,192.2152876,0.777558723,WBGene00018963,Embryonic lethal
unc-108,-,-,+,+,-,Group II,,,142.9134657,202.6642747,1.418090827,WBGene00006833,Embryonic lethal
Y17G7B.20,-,-,+,+,-,Group II,,,268.0903608,251.0628484,0.936485921,WBGene00012471,
Y17G7B.21,-,-,+,+,-,Group II,,,73.64794542,66.4805727,0.902680615,WBGene00012472,
yop-1,-,-,+,+,-,Group II,,,61.39262592,152.360677,2.481742306,WBGene00022127,
ZK524.4,-,-,+,+,-,Group II,,,107.3780738,136.2966538,1.269315503,WBGene00013994,
ztf-7,-,-,+,-,-,Group II,,,357.0850117,143.9591876,0.403151023,WBGene00009772,
ant-1.1,-,-,-,+,-,Group II,,,1179.683037,748.6351739,0.634607052,WBGene00006439,Embryonic lethal
apx-1,-,-,-,+,-,Group II,,,17.94744739,5.582439479,0.311043646,WBGene00000168,Embryonic lethal
cutc-1,-,-,-,+,-,Group II,,,51.35295508,37.0200674,0.720894588,WBGene00022702,
cyb-1,-,-,-,+,-,Group II,,,947.7958996,1858.742752,1.961121327,WBGene00000865,Embryonic lethal
ehbp-1,-,-,-,+,-,Group II,,,55.70005134,24.41169532,0.438270607,WBGene00009098,
F01G4.6,-,-,-,+,-,Group II,,,324.5421219,209.140821,0.644418111,WBGene00008505,Embryonic lethal
F19B6.1,-,-,-,+,-,Group II,,,246.4253961,188.1932927,0.763692767,WBGene00008948,
F32D1.5,-,-,-,+,-,Group II,,,1046.115994,690.6607099,0.660214272,WBGene00017984,Embryonic lethal
gsp-1,-,-,-,+,-,Group II,,,218.8432371,335.1206974,1.531327638,WBGene00001747,Embryonic lethal
hpk-1,-,-,-,+,-,Group II,,,182.7893579,148.0093313,0.809726195,WBGene00001994,
ifet-1,-,-,-,+,-,Group II,,,733.1419733,1141.966652,1.55763371,WBGene00004132,Embryonic lethal
ima-3,-,-,-,+,-,Group II,,,290.0390773,540.1085259,1.862192264,WBGene00002074,Embryonic lethal
let-70,-,-,-,+,-,Group II,,,150.5309748,191.1811257,1.270045092,WBGene00002344,Embryonic lethal
